Query#,NounePhrase,label,P(ci|q)
1,Airbus Industrie,1,0.427230047
1,trade dispute,0,0.241197183
2,sanctions,0,0.866666667
2,Document,0,0.1
3,200 million dollars,0,0.947730399
3,leveraged buyout,1,0.050894085
4,contract or preliminary agreement,1,0.350982067
4,tentative reservation,0,0.295473954
5,insider-trading case,1,0.998748436
5,Document,0,0.001251564
6,prime lending rate,1,0.51119403
6,actual prime rate move,0,0.455223881
7,Bell System breakup,0,0.778531073
7,MCI,1,0.220338983
8,ongoing rail strike,1,0.528277635
8,rail strike or report,0,0.470437018
9,weather event,1,0.482849604
9,least one fatality,0,0.45646438
10,seniority or longevity,1,0.371945701
10,salary levels and incentive pay,0,0.331221719
11,Iran-Contra Affair,1,0.724137931
11,role,0,0.137931034
12,country,0,0.537037037
12,military coup,1,0.407407407
13,machine translation system,1,0.991869919
13,Document,0,0.008130081
14,event or result,1,0.997572816
14,Document,0,0.002427184
15,information retrieval system,1,0.983870968
15,type,0,0.012672811
16,natural language processing technology,1,0.86935867
16,U.S.,0,0.104513064
17,country involving citizens,0,0.393005062
17,current civil disturbance,1,0.168430741
18,actual studies,0,0.227672621
18,safety,0,0.109570781
19,U.S.,0,0.902439024
19,attempt,1,0.073170732
20,judicial proceedings and opinions,0,0.474048443
20,surrogate motherhood,1,0.422145329
21,land air or water,0,0.345959596
21,incursions,1,0.308080808
22,movement,1,0.445454545
22,U.S.,0,0.1
23,movement,1,0.822
23,one country,0,0.138
24,U.S.,0,0.846153846
24,instance,1,0.076923077
25,which automation,1,0.922666667
25,instance,0,0.069333333
26,or debate,0,0.595121951
26,original intent,1,0.318699187
27,poaching method,1,0.54028436
27,certain type,0,0.278266757
28,Greenpeace,1,0.683383234
28,their environmental protection goals,0,0.307634731
29,political social economic military environmental or international objective,0,0.53238342
29,least one German political party and report,1,0.448186528
30,1988 presidential candidate,1,0.718456726
30,platform,0,0.27632951
31,aftermath,0,0.513108614
31,televangelist,0,0.208489388
32,genetic engineering application,1,0.343933054
32,genetic engineering,0,0.306276151
33,plans projects agreements treaties or laws,0,0.440963855
33,atmosphere,1,0.319277108
34,renewable energy plant or equipment installations,1,0.526923077
34,or under-construction alternative,0,0.469230769
35,allegations or measures,0,0.338575393
35,corrupt public officials,1,0.320074006
36,United States specifying name location assets and federal or state authorities taking action,0,0.526923077
36,recent bank failures,1,0.469230769
37,current criminal actions,1,0.731501057
37,officers,0,0.188160677
38,quantitative data,0,0.499317872
38,Document,0,0.001364256
39,existing or pending investment,0,0.472957422
39,OPEC member state,1,0.421173763
40,reserve figures,0,0.474517906
40,or specific data,0,0.283057851
41,U.S.,0,0.785714286
41,acquisition,1,0.196428571
42,military equipment,1,0.785714286
42,sale,0,0.142857143
43,NRA,0,0.566801619
43,National Rifle Association,1,0.333140544
44,crime,1,0.55
44,Document,0,0.15
45,computer application,1,0.625794732
45,crime,0,0.373297003
46,medical diagnosis,1,0.524234694
46,computer programs or computerized equipment,0,0.466836735
47,fiber optics technology,1,0.91959799
47,instances,0,0.065326633
48,individuals or organizations,0,0.524904215
48,fiber optics equipment,1,0.46743295
49,Iran-Contra Affair,1,0.75
49,development,0,0.142857143
50,high-tech goods,1,0.468629962
50,technologies,0,0.04737516
51,configuration components and technology,0,0.772151899
51,anti-missile defense system,1,0.14556962
52,Strategic Defense Initiative,1,0.605678233
52,laser research,0,0.384858044
53,U.S.,0,0.676031607
53,proposed or enacted changes,1,0.321334504
54,U.S.,1,0.651832461
54,provisions,0,0.346858639
55,U.S.,1,0.982142857
55,reasons,0,0.014030612
56,U.S.,1,0.994252874
56,Document,0,0.002873563
57,Japan s regulation,1,0.937669377
57,insider trading,0,0.059620596
58,Japan s domestic market,0,0.53238342
58,Japanese policies or practices,1,0.448186528
59,Computer Systems Inc.,1,0.512234043
59,OTC Ltd.,0,0.301595745
60,South Africa,0,0.917443409
60,black majority,1,0.029294274
61,non-nuclear weapons states,0,0.339388935
61,proliferation,0,0.302229562
62,much money worldwide is,0,0.442887931
62,biotechnology arena,1,0.372844828
63,non-traditional applications,0,0.528277635
63,space satellite technology,1,0.470437018
64,non-commercial space satellites,1,0.982954545
