title,NounePhrase,IsBig,tf,idf,ridf,wig,weight
Airbus Subsidies,Document,1,13415,4.784014745755097,0.762110059503736,-14.388679275775214,0
Airbus Subsidies,government assistance,0,111,11.14109625007847,0.26008470784163507,-5666.5134993486645,0
Airbus Subsidies,Airbus Industrie,1,165,10.543332467134222,0.22982098491565317,-3595.5821310607066,1
Airbus Subsidies,trade dispute,0,99,11.1881448228829,0.14367553815805323,-6460.560481173191,0
Airbus Subsidies,Airbus,1,1044,8.655944983035296,0.9936799778107854,-408.65886792183863,0
Airbus Subsidies,U.S.,1,124379,1.9271018689689163,0.7594145322778783,0.0,0
South African Sanctions,Document,1,13415,4.784014745755097,0.762110059503736,-14.388679275775214,0
South African Sanctions,sanctions,0,3616,6.70250451086147,0.822760111990922,-86.42914593370226,0
South African Sanctions,South Africa,1,12090,5.927062896346259,1.7596179604351434,-16.815948364715084,1
Leveraged Buyouts,Document,1,13415,4.784014745755097,0.762110059503736,-14.388679275775214,0
Leveraged Buyouts,leveraged buyout,0,1069,8.252320449029556,0.6240779668576133,-395.2342979762893,1
Leveraged Buyouts,200 million dollars,0,1,17.10302820924495,0.41503749926881994,-1060806.4375062955,0
Satellite Launch Contracts,Document,1,13415,4.784014745755097,0.762110059503736,-14.388679275775214,0
Satellite Launch Contracts,contract or preliminary agreement,0,0,18.687990709966105,1.0000034160854092,0,1
Satellite Launch Contracts,tentative reservation,0,0,18.687990709966105,1.0000034160854092,0,0
Satellite Launch Contracts,commercial satellite,0,24,13.133401858288469,0.08918876857645586,-32062.324157531522,0
Insider Trading,Document,1,13415,4.784014745755097,0.762110059503736,-14.388679275775214,0
Insider Trading,insider-trading case,0,9,14.600527868715767,0.23443792494099291,-95482.2060153419,1
Prime (Lending) Rate Moves Predictions,Document,1,13415,4.784014745755097,0.762110059503736,-14.388679275775214,0
Prime (Lending) Rate Moves Predictions,prediction,0,1234,7.644279846618949,0.22237446552796225,-331.41024962378765,0
Prime (Lending) Rate Moves Predictions,prime lending rate,0,237,9.903355864408583,0.10937679401970968,-2361.3739256866706,1
Prime (Lending) Rate Moves Predictions,actual prime rate move,0,0,18.687990709966105,1.0000034160854092,0,0
MCI,Document,1,13415,4.784014745755097,0.762110059503736,-14.388679275775214,0
MCI,MCI,1,912,9.158560155819954,1.3019295506437354,-481.2162537802924,1
MCI,Bell System breakup,0,9,14.44006319652252,0.07397325274774502,-95482.02542757022,0
Rail Strikes,Document,1,13415,4.784014745755097,0.762110059503736,-14.388679275775214,0
Rail Strikes,rail strike or report,0,0,18.687990709966105,1.0000034160854092,0,0
Rail Strikes,ongoing rail strike,0,0,18.687990709966105,1.0000034160854092,0,1
Weather Related Fatalities,Document,1,13415,4.784014745755097,0.762110059503736,-14.388679275775214,0
Weather Related Fatalities,type,0,7518,5.0314541181275025,0.19418587219122596,-32.4982016986273,0
Weather Related Fatalities,weather event,0,2,17.10302820924495,0.999996583897726,-498627.8316523436,1
Weather Related Fatalities,which,0,156482,1.1997975177870452,0.2657602582038937,0.0,0
Weather Related Fatalities,least one fatality,0,0,18.687990709966105,1.0000034160854092,0,0
Weather Related Fatalities,location,0,4103,5.883657983778489,0.18449214533089897,-72.8576844744993,0
Merit-Pay vs. Seniority,Document,1,13415,4.784014745755097,0.762110059503736,-14.388679275775214,0
Merit-Pay vs. Seniority,one,0,373925,0.6718081232557703,0.4026522336554369,0.0,0
Merit-Pay vs. Seniority,sides,0,10468,4.607756106276137,0.23799283174132313,-20.247088173914086,0
Merit-Pay vs. Seniority,controversy,0,2910,6.397107887536527,0.206490284913027,-113.17726916235164,0
Merit-Pay vs. Seniority,use,0,342610,0.7752007588683982,0.45794943208253486,0.0,0
Merit-Pay vs. Seniority,standards,0,5860,5.669616639145088,0.47858841956309295,-45.24777000233794,0
Merit-Pay vs. Seniority,performance,0,7768,5.166512953608318,0.375583944899077,-30.806304860953492,0
Merit-Pay vs. Seniority,salary levels and incentive pay,0,0,18.687990709966105,1.0000034160854092,0,0
Merit-Pay vs. Seniority,pay,0,48826,3.003653000609041,0.7274752718947357,-1.4485048110140153,0
Merit-Pay vs. Seniority,basis,0,5919,5.372133562703278,0.19535506867276986,-44.641532183291055,0
Merit-Pay vs. Seniority,seniority or longevity,0,0,18.687990709966105,1.0000034160854092,0,1
Merit-Pay vs. Seniority,job,0,29357,3.5450460475237393,0.5994000810984095,-3.9983137296606395,0
Israeli Role in Iran-Contra Affair,Document,1,13415,4.784014745755097,0.762110059503736,-14.10352484249117,0
Israeli Role in Iran-Contra Affair,role,0,21179,3.78943655667224,0.400119322702158,-6.956062132651364,0
Israeli Role in Iran-Contra Affair,Israel,1,43397,4.82486917780771,2.3965124218163267,-1.8788010987759538,0
Israeli Role in Iran-Contra Affair,Iran-Contra Affair,1,1122,7.91897938886909,0.3603031410949491,-371.43085476789895,1
Military Coups Detat,Document,1,13415,4.784014745755097,0.762110059503736,-14.10352484249117,0
Military Coups Detat,military coup,0,563,8.63678176905134,0.08642299096659833,-852.5485924413701,1
Military Coups Detat,country,0,47127,2.71386744920559,0.3921794010047215,-1.5696445275623494,0
Machine Translation,Document,1,13415,4.784014745755097,0.762110059503736,-14.10352484249117,0
Machine Translation,machine translation system,0,1,17.10302820924495,0.41503749926881994,-1060784.9607096957,1
Hostage-Taking,Document,1,13415,4.784014745755097,0.762110059503736,-14.10352484249117,0
Hostage-Taking,event or result,0,0,18.687990709966105,1.0000034160854092,0,1
Information Retrieval Systems,Document,1,13415,4.784014745755097,0.762110059503736,-14.10352484249117,0
Information Retrieval Systems,type,0,7518,5.0314541181275025,0.19418587219122596,-32.229757704873634,0
Information Retrieval Systems,information retrieval system,0,0,18.687990709966105,1.0000034160854092,0,1
Natural Language Processing,Document,1,13415,4.784014745755097,0.762110059503736,-14.10352484249117,0
Natural Language Processing,type,0,7518,5.0314541181275025,0.19418587219122596,-32.229757704873634,0
Natural Language Processing,natural language processing technology,0,0,18.687990709966105,1.0000034160854092,0,1
Natural Language Processing,which,0,156482,1.1997975177870452,0.2657602582038937,0.0,0
Natural Language Processing,U.S.,1,124379,1.9271018689689163,0.7594145322778783,0.0,0
