1,1:0,1:0,0.997,0.003,613
2,1:0,2:1,0.087,0.913,558
3,1:0,1:0,0.634,0.366,355
4,1:0,1:0,0.953,0.047,714
5,1:0,1:0,0.997,0.003,718
6,1:0,1:0,0.634,0.366,423
7,1:0,1:0,0.963,0.037,669
8,1:0,1:0,0.735,0.265,488
9,1:0,1:0,0.997,0.003,517
10,1:0,1:0,0.931,0.069,70
11,1:0,1:0,0.747,0.253,555
12,1:0,1:0,0.995,0.005,30
13,1:0,1:0,0.735,0.265,588
14,1:0,1:0,0.955,0.045,140
15,1:0,1:0,0.997,0.003,403
16,1:0,1:0,0.955,0.045,296
17,1:0,1:0,0.997,0.003,484
18,1:0,1:0,0.997,0.003,250
19,1:0,1:0,0.963,0.037,451
20,1:0,1:0,0.997,0.003,260
21,1:0,1:0,0.735,0.265,239
22,1:0,1:0,0.997,0.003,430
23,1:0,1:0,0.997,0.003,702
24,1:0,1:0,0.997,0.003,495
25,1:0,1:0,0.634,0.366,564
26,1:0,1:0,0.634,0.366,424
27,1:0,1:0,0.997,0.003,540
28,1:0,1:0,0.997,0.003,633
29,1:0,1:0,0.955,0.045,607
30,1:0,1:0,0.997,0.003,298
31,1:0,1:0,0.634,0.366,701
32,1:0,1:0,0.737,0.263,660
33,1:0,1:0,0.634,0.366,314
34,1:0,1:0,0.634,0.366,576
35,1:0,1:0,0.634,0.366,231
36,1:0,1:0,0.997,0.003,256
37,1:0,1:0,0.963,0.037,668
38,1:0,1:0,0.634,0.366,271
39,1:0,2:1,0.23,0.77,527
40,1:0,1:0,0.995,0.005,190
41,1:0,1:0,0.997,0.003,717
42,1:0,1:0,0.997,0.003,368
43,1:0,1:0,0.997,0.003,624
44,1:0,1:0,0.997,0.003,369
45,1:0,1:0,0.735,0.265,656
46,1:0,1:0,0.963,0.037,722
47,1:0,1:0,0.997,0.003,419
48,1:0,1:0,0.737,0.263,739
49,1:0,1:0,0.997,0.003,139
50,1:0,1:0,0.995,0.005,508
51,1:0,1:0,0.634,0.366,640
52,1:0,1:0,0.956,0.044,99
53,1:0,1:0,0.735,0.265,136
54,1:0,1:0,0.931,0.069,543
55,1:0,2:1,0.156,0.844,415
56,1:0,1:0,0.634,0.366,225
57,1:0,1:0,0.634,0.366,570
58,1:0,1:0,0.737,0.263,622
59,1:0,1:0,0.955,0.045,37
60,1:0,1:0,0.995,0.005,41
61,1:0,1:0,0.997,0.003,511
62,1:0,1:0,0.997,0.003,667
63,1:0,1:0,0.997,0.003,197
64,1:0,1:0,0.997,0.003,441
65,1:0,1:0,0.634,0.366,522
66,1:0,1:0,0.956,0.044,109
67,1:0,1:0,0.997,0.003,194
68,1:0,1:0,0.997,0.003,730
69,1:0,1:0,0.735,0.265,450
70,1:0,2:1,0.23,0.77,470
71,1:0,1:0,0.997,0.003,680
72,1:0,1:0,0.997,0.003,556
73,1:0,1:0,0.634,0.366,332
74,1:0,1:0,0.956,0.044,118
75,1:0,1:0,0.634,0.366,202
76,1:0,1:0,0.997,0.003,605
77,1:0,1:0,0.634,0.366,151
78,1:0,1:0,0.997,0.003,223
79,1:0,1:0,0.997,0.003,13
80,1:0,1:0,0.931,0.069,94
81,1:0,1:0,0.995,0.005,283
82,1:0,1:0,0.634,0.366,27
83,1:0,1:0,0.997,0.003,335
84,1:0,1:0,0.997,0.003,626
85,1:0,1:0,0.997,0.003,462
86,1:0,1:0,0.997,0.003,405
87,1:0,1:0,0.634,0.366,2
88,1:0,1:0,0.634,0.366,545
89,1:0,1:0,0.634,0.366,153
90,1:0,1:0,0.955,0.045,693
91,1:0,1:0,0.997,0.003,64
92,1:0,1:0,0.995,0.005,62
93,1:0,1:0,0.995,0.005,391
94,1:0,1:0,0.634,0.366,42
95,1:0,1:0,0.963,0.037,93
96,1:0,1:0,0.997,0.003,177
97,1:0,1:0,0.997,0.003,498
98,1:0,1:0,0.931,0.069,103
99,1:0,1:0,0.997,0.003,276
100,1:0,1:0,0.634,0.366,157
101,1:0,1:0,0.963,0.037,733
102,1:0,1:0,0.963,0.037,469
103,1:0,1:0,0.997,0.003,443
104,1:0,1:0,0.634,0.366,675
105,1:0,1:0,0.997,0.003,381
106,1:0,1:0,0.997,0.003,58
107,1:0,1:0,0.634,0.366,78
108,1:0,1:0,0.997,0.003,149
109,1:0,1:0,0.634,0.366,160
110,1:0,1:0,0.963,0.037,523
111,1:0,1:0,0.997,0.003,110
112,1:0,1:0,0.997,0.003,209
113,1:0,1:0,0.997,0.003,468
114,1:0,1:0,0.997,0.003,97
115,1:0,1:0,0.997,0.003,514
116,1:0,1:0,0.997,0.003,51
117,1:0,1:0,0.956,0.044,65
118,1:0,1:0,0.634,0.366,385
119,1:0,1:0,0.965,0.035,268
120,1:0,1:0,0.997,0.003,471
121,1:0,1:0,0.737,0.263,631
122,1:0,1:0,0.995,0.005,590
123,1:0,1:0,0.634,0.366,311
124,1:0,1:0,0.963,0.037,724
125,1:0,1:0,0.997,0.003,7
126,1:0,1:0,0.963,0.037,628
127,1:0,1:0,0.634,0.366,492
128,1:0,1:0,0.997,0.003,644
129,1:0,1:0,0.997,0.003,309
130,1:0,1:0,0.997,0.003,632
131,1:0,1:0,0.997,0.003,353
132,1:0,1:0,0.997,0.003,324
133,1:0,1:0,0.931,0.069,490
134,1:0,1:0,0.997,0.003,47
135,1:0,1:0,0.997,0.003,235
136,1:0,1:0,0.634,0.366,664
137,1:0,1:0,0.634,0.366,376
138,1:0,1:0,0.634,0.366,222
139,1:0,1:0,0.997,0.003,54
140,1:0,1:0,0.997,0.003,269
141,1:0,1:0,0.963,0.037,40
142,1:0,1:0,0.997,0.003,148
143,1:0,1:0,0.634,0.366,115
144,1:0,1:0,0.997,0.003,39
145,1:0,1:0,0.997,0.003,201
146,1:0,1:0,0.963,0.037,221
147,1:0,1:0,0.997,0.003,384
148,1:0,1:0,0.963,0.037,609
149,1:0,1:0,0.634,0.366,162
150,1:0,1:0,0.997,0.003,582
151,1:0,1:0,0.634,0.366,587
152,1:0,1:0,0.634,0.366,22
153,1:0,1:0,0.634,0.366,171
154,1:0,1:0,0.634,0.366,472
155,1:0,1:0,0.931,0.069,143
156,1:0,1:0,0.997,0.003,152
157,1:0,1:0,0.997,0.003,179
158,1:0,1:0,0.997,0.003,507
159,1:0,1:0,0.997,0.003,410
160,1:0,1:0,0.997,0.003,156
161,1:0,1:0,0.634,0.366,320
162,1:0,1:0,0.997,0.003,652
163,1:0,1:0,0.634,0.366,648
164,1:0,1:0,0.997,0.003,610
165,1:0,1:0,0.997,0.003,119
166,1:0,2:1,0.23,0.77,237
167,1:0,1:0,0.589,0.411,200
168,1:0,1:0,0.634,0.366,643
169,1:0,1:0,0.997,0.003,61
170,1:0,1:0,0.995,0.005,44
171,1:0,1:0,0.997,0.003,534
172,1:0,1:0,0.963,0.037,583
173,1:0,1:0,0.634,0.366,452
174,1:0,1:0,0.995,0.005,461
175,1:0,1:0,0.634,0.366,437
176,1:0,1:0,0.997,0.003,408
177,1:0,1:0,0.997,0.003,432
178,1:0,1:0,0.997,0.003,159
179,1:0,1:0,0.997,0.003,589
180,1:0,1:0,0.963,0.037,34
181,1:0,1:0,0.956,0.044,184
182,1:0,1:0,0.997,0.003,163
183,1:0,1:0,0.634,0.366,297
184,1:0,1:0,0.995,0.005,114
185,1:0,1:0,0.963,0.037,91
186,1:0,1:0,0.997,0.003,173
187,1:0,1:0,0.997,0.003,213
188,1:0,1:0,0.997,0.003,565
189,1:0,1:0,0.997,0.003,241
190,1:0,1:0,0.735,0.265,122
191,1:0,2:1,0.23,0.77,445
192,1:0,1:0,0.965,0.035,486
193,1:0,1:0,0.997,0.003,559
194,1:0,1:0,0.997,0.003,205
195,1:0,1:0,0.997,0.003,388
196,1:0,1:0,0.634,0.366,719
197,1:0,1:0,0.997,0.003,266
198,2:1,1:0,0.634,0.366,322
199,2:1,1:0,0.634,0.366,678
200,2:1,1:0,0.634,0.366,281
201,2:1,1:0,0.634,0.366,164
202,2:1,1:0,0.634,0.366,427
203,2:1,1:0,0.634,0.366,67
204,2:1,1:0,0.634,0.366,550
205,2:1,1:0,0.634,0.366,639
206,2:1,1:0,0.963,0.037,728
207,2:1,2:1,0.424,0.576,191
208,2:1,1:0,0.634,0.366,390
209,2:1,1:0,0.589,0.411,101
210,2:1,1:0,0.634,0.366,647
211,2:1,1:0,0.963,0.037,356
212,2:1,1:0,0.634,0.366,295
213,2:1,1:0,0.634,0.366,272
214,2:1,2:1,0.23,0.77,243
215,2:1,1:0,0.634,0.366,699
216,2:1,1:0,0.634,0.366,63
217,2:1,1:0,0.634,0.366,336
218,2:1,1:0,0.634,0.366,681
219,2:1,1:0,0.634,0.366,327
220,2:1,1:0,0.997,0.003,80
221,2:1,1:0,0.634,0.366,175
222,2:1,1:0,0.634,0.366,442
223,2:1,2:1,0.087,0.913,374
224,2:1,1:0,0.634,0.366,591
225,2:1,2:1,0.087,0.913,125
226,2:1,1:0,0.634,0.366,346
227,2:1,1:0,0.634,0.366,55
228,2:1,1:0,0.634,0.366,236
229,2:1,1:0,0.634,0.366,31
230,2:1,1:0,0.735,0.265,155
231,2:1,2:1,0.424,0.576,234
232,2:1,1:0,0.634,0.366,489
233,2:1,1:0,0.634,0.366,207
234,2:1,1:0,0.634,0.366,435
235,2:1,2:1,0.01,0.99,362
236,2:1,1:0,0.931,0.069,317
237,2:1,1:0,0.634,0.366,85
238,2:1,1:0,0.634,0.366,172
239,2:1,2:1,0.087,0.913,395
240,2:1,1:0,0.634,0.366,220
241,2:1,1:0,0.634,0.366,561
